id,cell_type
R10C2,Other_immune
R10C2,Unclassified
R10C2,Myeloid
R10C2,Stromal
R10C2,Tumor
R10C2,Other_immune
R10C2,Tumor
R10C2,B_cell
R10C2,Unclassified
R10C2,Lymphatic
R10C2,B_cell
R10C2,Other_T
R10C2,Unclassified
R10C2,Myeloid
R10C2,Other_immune
R10C2,Tumor
R10C2,Unclassified
R10C2,Other_immune
R10C2,Other_immune
R10C2,Unclassified
R10C2,Unclassified
R10C2,B_cell
R10C2,Tumor
R10C2,Other_T
R10C2,Myeloid
R10C2,B_cell
R10C2,Other_immune
R10C2,Lymphatic
R10C2,Unclassified
R10C2,Other_immune
R10C2,Other_immune
R10C2,Lymphatic
R10C2,Myeloid
R10C2,B_cell
R10C2,Myeloid
R10C2,Other_T
R10C2,Unclassified
R10C2,Unclassified
R10C2,Myeloid
R10C2,Treg
R10C2,Other_immune
R10C2,Myeloid
R10C2,Other_T
R10C2,Other_immune
R10C2,Tumor
R10C2,Myeloid
R10C2,CD4_T
R10C2,Myeloid
R10C2,Unclassified
R10C2,B_cell
R10C2,B_cell
R10C2,Treg
R10C2,Treg
R10C2,Unclassified
R10C2,Other_immune
R10C2,Myeloid
R10C2,B_cell
R10C2,Tumor
R10C2,Myeloid
R10C2,Stromal
R10C2,Tumor
R10C2,Unclassified
R10C2,Other_immune
R10C2,Unclassified
R10C2,Unclassified
R10C2,Unclassified
R10C2,Endothelial
R10C2,Myeloid
R10C2,Other_immune
R10C2,Unclassified
R10C2,Endothelial
R10C2,Myeloid
R10C2,Myeloid
R10C2,Treg
R10C2,Stromal
R10C2,Other_immune
R10C2,Unclassified
R10C2,Myeloid
R10C2,Myeloid
R10C2,Myeloid
R10C2,Myeloid
R10C2,Unclassified
R10C2,Myeloid
R10C2,Stromal
R10C2,Unclassified
R10C2,Treg
R10C2,Myeloid
R10C2,Myeloid
R10C2,Stromal
R10C2,Myeloid
R10C2,Unclassified
R10C2,Lymphatic
R10C2,Endothelial
R10C2,Myeloid
R10C2,Unclassified
R10C2,Myeloid
R10C2,Other_immune
R10C2,Unclassified
R10C2,Lymphatic
R10C2,Other_immune
R10C2,Myeloid
R10C2,Stromal
R10C2,Myeloid
R10C2,Other_T
R10C2,Endothelial
R10C2,Unclassified
R10C2,Myeloid
R10C2,B_cell
R10C2,Endothelial
R10C2,Other_immune
R10C2,Myeloid
R10C2,Other_T
R10C2,Stromal
R10C2,Unclassified
R10C2,Myeloid
R10C2,Unclassified
R10C2,Stromal
R10C2,Unclassified
R10C2,Myeloid
R10C2,Myeloid
R10C2,Endothelial
R10C2,Other_T
R10C2,Lymphatic
R10C2,Myeloid
R10C2,Stromal
R10C2,B_cell
R10C2,Tumor
R10C2,CD4_T
R10C2,Myeloid
R10C2,Stromal
R10C2,Unclassified
R10C2,Endothelial
R10C2,Endothelial
R10C2,Myeloid
R10C2,Myeloid
R10C2,Unclassified
R10C2,Myeloid
R10C2,Tumor
R10C2,Myeloid
R10C2,Myeloid
R10C2,Myeloid
R10C2,Lymphatic
R10C2,Stromal
R10C2,Other_T
R10C2,Endothelial
R10C2,Other_immune
R10C2,Myeloid
R10C2,Stromal
R10C2,Myeloid
R10C2,Unclassified
R10C2,Unclassified
R10C2,Tumor
R10C2,Stromal
R10C2,Myeloid
R10C2,Unclassified
R10C2,Tumor
R10C2,Endothelial
R10C2,Lymphatic
R10C2,Unclassified
R10C2,Unclassified
R10C2,Tumor
R10C2,Stromal
R10C2,Unclassified
R10C2,Unclassified
R10C2,Myeloid
R10C2,Endothelial
R10C2,Other_immune
R10C2,Stromal
R10C2,Other_immune
R10C2,Stromal
R10C2,Unclassified
R10C2,Stromal
R10C2,Endothelial
R10C2,Endothelial
R10C2,Lymphatic
R10C2,Myeloid
R10C2,Endothelial
R10C2,Myeloid
R10C2,Stromal
R10C2,Endothelial
R10C2,Myeloid
R10C2,Myeloid
R10C2,Other_immune
R10C2,Myeloid
R10C2,Endothelial
R10C2,Tumor
R10C2,CD4_T
R10C2,Myeloid
R10C2,Endothelial
R10C2,Myeloid
R10C2,Myeloid
R10C2,Unclassified
R10C2,Endothelial
R10C2,Myeloid
R10C2,Endothelial
R10C2,Myeloid
R10C2,Other_immune
R10C2,Endothelial
R10C2,Stromal
R10C2,Other_immune
R10C2,Myeloid
R10C2,Myeloid
R10C2,Endothelial
R10C2,Myeloid
R10C2,Unclassified
R10C2,Myeloid
R10C2,Myeloid
R10C2,Other_T
R10C2,Unclassified
R10C2,Endothelial
R10C2,Other_immune
R10C2,Stromal
R10C2,Endothelial
R10C2,Unclassified
R10C2,Endothelial
R10C2,Endothelial
R10C2,Unclassified
R10C2,Endothelial
R10C2,Tumor
R10C2,Endothelial
R10C2,Unclassified
R10C2,Endothelial
R10C2,Endothelial
R10C2,Lymphatic
R10C2,CD4_T
R10C2,Stromal
R10C2,Unclassified
R10C2,Unclassified
R10C2,Tumor
R10C2,Myeloid
R10C2,Unclassified
R10C2,Other_T
R10C2,Lymphatic
R10C2,Endothelial
R10C2,Other_immune
R10C2,Unclassified
R10C2,Unclassified
R10C2,Myeloid
R10C2,Endothelial
R10C2,Unclassified
R10C2,Tumor
R10C2,Endothelial
R10C2,Myeloid
R10C2,Endothelial
R10C2,Myeloid
R10C2,Myeloid
R10C2,Unclassified
R10C2,Myeloid
R10C2,Other_immune
R10C2,Endothelial
R10C2,Myeloid
R10C2,Endothelial
R10C2,Endothelial
R10C2,Unclassified
R10C2,Endothelial
R10C2,CD8_T
R10C2,Myeloid
R10C2,Unclassified
R10C2,Other_T
R10C2,Unclassified
R10C2,Myeloid
R10C2,B_cell
R10C2,Stromal
R10C2,Myeloid
R10C2,Myeloid
R10C2,Lymphatic
R10C2,Stromal
R10C2,Myeloid
R10C2,Myeloid
R10C2,Endothelial
R10C2,Myeloid
R10C2,Lymphatic
R10C2,Endothelial
R10C2,Myeloid
R10C2,Tumor
R10C2,Unclassified
R10C2,Unclassified
R10C2,Stromal
R10C2,Endothelial
R10C2,Endothelial
R10C2,Tumor
R10C2,Myeloid
R10C2,Lymphatic
R10C2,Other_immune
R10C2,Myeloid
R10C2,Myeloid
R10C2,Myeloid
R10C2,Unclassified
R10C2,Myeloid
R10C2,Unclassified
R10C2,Endothelial
R10C2,Myeloid
R10C2,Myeloid
R10C2,Endothelial
R10C2,Myeloid
R10C2,Endothelial
R10C2,Other_immune
R10C2,Lymphatic
R10C2,Myeloid
R10C2,Endothelial
R10C2,Myeloid
R10C2,Myeloid
R10C2,Myeloid
R10C2,Endothelial
R10C2,Endothelial
R10C2,Lymphatic
R10C2,Unclassified
R10C2,Myeloid
R10C2,Unclassified
R10C2,Lymphatic
R10C2,Unclassified
R10C2,Lymphatic
R10C2,Myeloid
R10C2,Myeloid
R10C2,Lymphatic
R10C2,Myeloid
R10C2,Myeloid
R10C2,Myeloid
R10C2,Stromal
R10C2,Lymphatic
R10C2,Tumor
R10C2,Myeloid
R10C2,Myeloid
R10C2,Lymphatic
R10C2,Myeloid
R10C2,Myeloid
R10C2,Lymphatic
R10C2,Endothelial
R10C2,Other_immune
R10C2,Lymphatic
R10C2,Tumor
R10C2,Lymphatic
R10C2,Unclassified
R10C2,Unclassified
R10C2,Myeloid
R10C2,Lymphatic
R10C2,Myeloid
R10C2,Endothelial
R10C2,Myeloid
R10C2,Endothelial
R10C2,Unclassified
R10C2,Endothelial
R10C2,Tumor
R10C2,Myeloid
R10C2,Tumor
R10C2,Endothelial
R10C2,Tumor
R10C2,Unclassified
R10C2,Endothelial
R10C2,Lymphatic
R10C2,Unclassified
R10C2,Myeloid
R10C2,Other_immune
R10C2,Tumor
R10C2,Myeloid
R10C2,Unclassified
R10C2,Unclassified
R10C2,Lymphatic
R10C2,Myeloid
R10C2,Myeloid
R10C2,B_cell
R10C2,Myeloid
R10C2,Unclassified
R10C2,Endothelial
R10C2,Stromal
R10C2,Myeloid
R10C2,Endothelial
R10C2,Unclassified
R10C2,Tumor
R10C2,Myeloid
R10C2,Tumor
R10C2,Tumor
R10C2,Stromal
R10C2,Endothelial
R10C2,Myeloid
R10C2,Unclassified
R10C2,Myeloid
R10C2,Myeloid
R10C2,Unclassified
R10C2,Myeloid
R10C2,Stromal
R10C2,Unclassified
R10C2,Tumor
R10C2,Unclassified
R10C2,Tumor
R10C2,Unclassified
R10C2,Endothelial
R10C2,Tumor
