Feature,Responder median [IQR],Non-responder median [IQR],p-value
Total immune cell fraction (%),18 [12.2–27.1],18.9 [12–23.6],0.807
CD8+ T-cell fraction (%),1.3 [0.506–3.33],0.8 [0.272–1.86],0.137
CD8+ T-cell density (cells/1000 px^2),0.0101 [0.00557–0.0329],0.00909 [0.00252–0.0198],0.162
CD8+T-to-tumor mean NND (px),92.9 [50.5–120],100 [58.3–181],0.211
CD8+T-to-myeloid mean NND (px),84.6 [63.3–112],102 [61.6–153],0.278
Immune-immune mean NND (px),38.1 [31.9–44.3],39.2 [34.2–48],0.363
Immune Ripley's K clustering index,0.168 [0.0686–0.396],0.216 [0.0937–0.53],0.564
Mean tumor PD-L1 expression,0.00828 [0.00621–0.0133],0.00726 [0.00398–0.0119],0.421
Mean immune-cell PD-L1 expression,0.0141 [0.00767–0.0222],0.0113 [0.00873–0.0165],0.540
"PD-L1+ cells, all types (%)",21.7 [9.07–34],14.1 [8.77–24.8],0.401
Tumor cell fraction (%),13.3 [6.09–20.4],12 [5.67–20.7],0.875
